Frequency (Hz),Rel. amplitude (a.u.)
0.705831948,0.233908358
0.705831782,0.23393088
0.705831948,0.233963313
0.705831782,0.234001773
0.705831782,0.234056239
0.705831948,0.234078459
0.705831782,0.23408417
0.705831948,0.234068606
0.705831782,0.234023784
0.705831948,0.233951766
0.705831782,0.233847737
0.705831948,0.233699446
0.709161264,0.232422039
0.709161264,0.232171862
0.709161097,0.231526189
0.709161264,0.231136798
0.70916116,0.230715528
0.709161327,0.230243426
0.70916116,0.22973112
0.709161327,0.229199116
0.70916116,0.228677261
0.705831844,0.228743793
0.705831844,0.228272401
0.705831844,0.227835768
0.705831844,0.22745413
0.705831844,0.227132677
0.705831844,0.226868616
0.705831692,0.2266599
0.705831692,0.226491398
0.705831692,0.226365952
0.705831692,0.226249899
0.705831858,0.226236558
0.705831692,0.226242878
0.705831858,0.22626419
0.705831692,0.226295888
0.705831692,0.226331505
0.705831692,0.226364059
0.705831692,0.226385185
0.705831692,0.226397169
0.705831692,0.22637749
0.705831692,0.226329537
0.705831692,0.226247384
0.705831692,0.226130706
0.705831692,0.225982386
0.709161006,0.224732226
0.709161174,0.2245131
0.709161006,0.22423956
0.709161006,0.223532139
0.709161174,0.223095057
0.709161006,0.22264773
0.709161174,0.222190094
0.709161006,0.221696216
0.709161174,0.22119689
0.709161006,0.220691673
0.709161174,0.220193206
0.705831692,0.220750452
0.705831692,0.219921142
0.705831526,0.219565902
0.705831692,0.219263515
0.705831526,0.21901914
0.705831588,0.218832942
0.705831422,0.21870711
0.705831588,0.218620326
0.705831422,0.218576838
0.705831588,0.21856641
0.705831588,0.218609551
0.705831422,0.218642256
0.705831588,0.218674712
0.705831422,0.218697503
0.705831588,0.218707062
0.705831422,0.218693077
0.705831588,0.21864105
0.705831505,0.218549478
0.705831671,0.218423595
0.709160985,0.217039664
0.709160985,0.216793692
0.709161153,0.216499274
0.709160985,0.216163676
0.709160985,0.21579624
0.709160985,0.21541514
0.709160985,0.215010817
0.709160985,0.214595656
0.709160985,0.213714873
0.709160985,0.213291105
0.709160985,0.212891611
0.705831505,0.213507197
0.705831671,0.213160182
0.705831505,0.212829643
0.705831671,0.212540029
0.705831505,0.212295964
0.705831671,0.212099351
0.705831671,0.211816559
0.705831505,0.211722068
0.705831671,0.211660497
0.705831505,0.21162714
0.705831671,0.211619643
0.705831505,0.211630954
0.705831671,0.211655913
0.705831505,0.211694812
0.705831671,0.211740416
0.705831671,0.211824354
0.705831505,0.211857311
0.705831671,0.211881289
0.705831505,0.211898353
0.705831505,0.211872344
0.705831505,0.211818471
0.705831492,0.211718719
0.709160971,0.210584198
0.709160971,0.210192079
0.709160803,0.209899862
0.709160971,0.209545722
0.709160803,0.209152404
0.709160971,0.208714229
0.709160803,0.208253122
0.709160971,0.207782897
0.709160803,0.207273938
0.709160971,0.206751137
0.709160936,0.205757541
0.705831457,0.206302469
0.705831457,0.205906565
0.705831457,0.205549695
0.705831457,0.205237752
0.705831457,0.204981483
0.705831457,0.204783442
0.705831457,0.204641087
0.705831457,0.204541388
0.705831291,0.204458282
0.705831457,0.204458738
0.705831291,0.204479365
0.705831457,0.204510895
0.705831291,0.204547155
0.705831457,0.204583247
0.705831291,0.204615437
0.705831457,0.204634238
0.705831457,0.204628474
0.705831291,0.2045886
0.709160768,0.203558956
0.709160768,0.203458449
0.709160768,0.203323276
0.709160768,0.203154071
0.709160936,0.202919484
0.709160768,0.202653285
0.709160936,0.202349109
0.709160936,0.201639207
0.709160768,0.201259495
0.709160936,0.200837397
0.709160768,0.200403101
0.709160936,0.199983697
0.709160768,0.199592876
0.709160936,0.199220854
0.705831457,0.199797693
0.70583154,0.199462999
0.70583154,0.19891459
0.70583154,0.198702089
0.70583154,0.198534116
0.70583154,0.198397853
0.70583154,0.198299911
0.70583154,0.198233822
