Time (s),Rotation x (rad/s),Rotation y (rad/s),Rotation z (rad/s)
58.37392642,-0.005681749,0.072773188,-0.001458546
58.39388142,-0.00745739,0.081004389,-0.001504137
58.41383542,-0.009681333,0.093891665,0.001714617
58.43379042,-0.008716693,0.097951196,8.41927E-05
58.45374442,-0.010638356,0.106442221,0.002068858
58.47369942,-0.011250747,0.114957564,0.002382802
58.49365342,-0.012272397,0.119641967,0.001864249
58.51360842,-0.013311824,0.125026658,0.001268051
58.53356342,-0.013548882,0.128241077,9.82177E-05
58.55351742,-0.012347782,0.131802753,0.003245111
58.57347242,-0.013776148,0.133874059,0.002368759
58.59342642,-0.014710979,0.133559451,0.000442952
58.61338142,-0.013739359,0.131749421,0.001027599
58.63333542,-0.018015429,0.130377769,0.000688796
58.65329042,-0.013439982,0.128343806,0.002586308
58.67324542,-0.013472375,0.125761196,9.21532E-05
58.69319942,-0.016122004,0.121556059,0.000622393
58.71315442,-0.01753512,0.117003307,0.000448957
58.73310842,-0.015818756,0.110424958,0.000647615
58.75306342,-0.015211176,0.101972714,0.002798425
58.77301742,-0.013932498,0.094181977,-0.000665847
58.79297242,-0.008914832,0.086254589,-0.000435091
58.81292742,-0.014368659,0.076615907,0.001024914
58.83288142,-0.010772578,0.067774452,-0.000972738
58.85283642,-0.012010118,0.055320431,0.002108473
58.87279042,-0.010962475,0.043550633,0.000327261
58.89274483,-0.007109086,0.033173718,0.00024259
58.91269883,-0.006958492,0.021597821,0.000208371
58.93265383,-0.005066026,0.009576905,-0.000374476
58.95260883,-0.002833888,-0.002154769,-0.000538714
58.97256283,-0.000978018,-0.014294559,-0.0009241
58.99251783,-0.000799699,-0.025565952,0.000926671
59.01247183,-0.000830807,-0.035101395,-0.001703892
59.03242683,0.003827216,-0.045787957,0.003634375
59.05238083,0.007087482,-0.057924721,-0.000786532
59.07233583,0.007754822,-0.067630731,-0.001935428
59.09228983,0.006996378,-0.07595358,-0.001084012
59.11224483,0.008345493,-0.08721377,4.92162E-05
59.13219983,0.012364227,-0.096293762,-0.001575428
59.15215383,0.012163313,-0.104099572,-0.00292812
59.17210883,0.013516428,-0.111957535,-0.001870001
59.19206283,0.015555048,-0.117230691,-0.001546546
59.21201783,0.012006572,-0.121404774,-0.002225347
59.23197183,0.014711346,-0.125176206,-0.005269451
59.25192683,0.014003739,-0.131250918,-0.001557736
59.27188183,0.013231525,-0.130660877,-0.002159995
59.29183583,0.014971362,-0.13241753,-0.002176305
59.31179083,0.015839096,-0.130747661,-0.001512365
59.33174483,0.015319129,-0.129665494,-0.00194548
59.35169983,0.014039505,-0.126523972,-0.000999426
59.37165383,0.01412387,-0.121955365,-0.001029324
59.39160883,0.013387334,-0.120895877,-0.002005821
59.41156383,0.010448704,-0.115207754,-0.002016994
59.43151783,0.00996042,-0.109285757,-0.005251964
59.45147283,0.011846578,-0.100791015,-0.00012738
